id,centroid,bbox,shape,country,countryful,province,commune,firedate,area_ha,broadlea,conifer,mixed,scleroph,transit,othernatlc,agriareas,artifsurf,otherlc,percna2k,lastupdate,lastfiredate,noneu
673108,"{'type': 'Point', 'coordinates': [20.779203872214428, 40.04106199653902]}","[20.778737569322452, 40.040716887026676, 20.779600495447514, 40.04133809855646]","{'type': 'MultiPolygon', 'coordinates': [[[[20.779164327051266, 40.040993121006615], [20.779165994993694, 40.04097102327672], [20.779143244247585, 40.04094615086402], [20.779096074845302, 40.0409185037504], [20.779044068356377, 40.04089577477453], [20.77898722477366, 40.04087796392922], [20.778963336002665, 40.04084554790953], [20.778972402011785, 40.04079852673899], [20.779005052616355, 40.04076532915797], [20.7790612877991, 40.040745955144565], [20.77911806749446, 40.04072980776782], [20.77917539171029, 40.040716887026676], [20.779231447793435, 40.04072163710894], [20.77928623579019, 40.040744058015335], [20.779337396002653, 40.040770167522055], [20.779384928435523, 40.04079996563439], [20.779436753449442, 40.040821618873984], [20.779492871028285, 40.040835127234935], [20.779533086566268, 40.040863544113], [20.779557400072072, 40.04090686952636], [20.77956838167134, 40.0409346275717], [20.779566031336078, 40.04094681825565], [20.77957673592526, 40.04095987651766], [20.779600495447514, 40.04097380235323], [20.77958275199257, 40.04104868877755], [20.779523505393353, 40.0411845357578], [20.779475742810597, 40.04127090241226], [20.779439464374445, 40.04130778876801], [20.779392118227793, 40.04132946572529], [20.77933370439167, 40.04133593326847], [20.779274564463222, 40.04133809855646], [20.779214698454236, 40.04133596158766], [20.77915549718284, 40.04132936837426], [20.779096960661242, 40.04131831891703], [20.779037396388393, 40.041309574519765], [20.778976804358255, 40.04130313518082], [20.778916212341777, 40.04129669580375], [20.77885562033896, 40.041290256388606], [20.778804158159318, 40.04127075396783], [20.77876182582683, 40.04123818855448], [20.778739629557517, 40.04119901119351], [20.778737569322452, 40.04115322189863], [20.77875310627076, 40.04111096262148], [20.778786240369715, 40.04107223335503], [20.77883165119552, 40.04104748399812], [20.778889338762173, 40.04103671453431], [20.77895156173763, 40.041027634199764], [20.779018320125115, 40.04102024298577], [20.779079647758888, 40.041013453001085], [20.77913554464199, 40.04100726425591], [20.779164327051266, 40.040993121006615]]]]}",EL,Ελλάδα ,Ιωάννινα,Δημοτική Κοινότητα Κονίτσης,2026-09-01T00:18:00+02:00,0,,,,,,,,,,78.68167214,2026-09-04T12:23:00.059275+02:00,,False
673007,"{'type': 'Point', 'coordinates': [21.079458427670158, 40.643376691718146]}","[21.073008743985433, 40.64039764268359, 21.087937461398504, 40.64741867108348]","{'type': 'MultiPolygon', 'coordinates': [[[[21.07922222326438, 40.646389476745156], [21.077840963646, 40.647156472460644], [21.076330637966183, 40.64741867108348], [21.074691280202778, 40.6471760661892], [21.073604049628166, 40.646443412042956], [21.073068953831317, 40.64522072571629], [21.073008743985433, 40.64397498062629], [21.073423392236766, 40.642706178270366], [21.074365734330136, 40.64171384409815], [21.075835756682075, 40.64099796408332], [21.077397753643606, 40.64057717253589], [21.079051744645483, 40.64045146494283], [21.08072159809175, 40.64041558769935], [21.082407321083515, 40.640469539823926], [21.084082466268484, 40.64046355793109], [21.08574702886915, 40.64039764268359], [21.087032018419258, 40.640893963039645], [21.087937461398504, 40.64195253239068], [21.08627094019637, 40.64336292051831], [21.0820322631991, 40.64512499976146], [21.07922222326438, 40.646389476745156]]]]}",EL,Ελλάδα ,Φλώρινα,Τοπική Κοινότητα Κρυσταλλοπηγής,2026-09-02T19:57:00+02:00,65,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00000000,100.00000000,2026-09-04T07:52:41.450345+02:00,,False
673006,"{'type': 'Point', 'coordinates': [23.414390355172916, 38.329007569754474]}","[23.403225356210534, 38.32112920081052, 23.424781070945063, 38.33703662318179]","{'type': 'MultiPolygon', 'coordinates': [[[[23.40980186232928, 38.32278454807786], [23.410014809734044, 38.32275449438888], [23.410592153937884, 38.3228174313329], [23.41153389871248, 38.322973352117295], [23.41248270810893, 38.32316437221216], [23.41343858372768, 38.32339049132722], [23.414353732876137, 38.32364040394585], [23.41522815605672, 38.323914111206655], [23.416102586905307, 38.32418781006899], [23.416977025421826, 38.32446150053278], [23.417855003045066, 38.32475273673165], [23.418736520548265, 38.325061518522965], [23.419506444416903, 38.32549437054569], [23.420164777012573, 38.32605129524239], [23.420863854395847, 38.326584408514485], [23.421603676743395, 38.327093709501426], [23.422280645221154, 38.32762993712248], [23.422894759181474, 38.328193092692594], [23.423449551127526, 38.32880073118303], [23.423945020701183, 38.32945285355014], [23.42405364158379, 38.330108026790164], [23.42377540246655, 38.33076625261155], [23.423729166124247, 38.331189687384054], [23.423914936666236, 38.33137833165476], [23.424133725103506, 38.33166001381779], [23.424385532958013, 38.332034733500535], [23.424585895263615, 38.332416720541374], [23.424734811215487, 38.33280597528362], [23.424781070945063, 38.33318175798209], [23.424724672664258, 38.33354406886599], [23.424565614725445, 38.333892907826325], [23.4243038956214, 38.33422827441599], [23.42400720176736, 38.33453594372222], [23.423675533003692, 38.334815915452886], [23.423308889264476, 38.33506818927136], [23.422907270577483, 38.33529276479643], [23.422598146375456, 38.33543770459951], [23.422381518221847, 38.33550300957007], [23.422283206972445, 38.335607077081555], [23.422303213017187, 38.335749907473556], [23.421931509131014, 38.336073815295336], [23.421168087326393, 38.33657879601884], [23.420321517089775, 38.33689693175977], [23.419391803954447, 38.33702822031509], [23.41843735828759, 38.33703662318179], [23.417458185326474, 38.336922139438464], [23.416486080668637, 38.33684275327674], [23.415521042740185, 38.33679846497738], [23.41489794817198, 38.33641705780755], [23.41461680112085, 38.3356985378982], [23.414309994289187, 38.33496558686983], [23.413977528799844, 38.33421820439813], [23.41360433299884, 38.333494622823906], [23.41319040769937, 38.33279484169985], [23.412557725594425, 38.332252303616286], [23.411706287126098, 38.331867004488636], [23.410821180658623, 38.33154060766381], [23.40990240426663, 38.33127311233466], [23.40899871083874, 38.330967375623366], [23.408110101771417, 38.3306233978711], [23.407280847046096, 38.33023493350941], [23.406510947328883, 38.32980198400839], [23.405815479703197, 38.32928631895931], [23.40519444525275, 38.32868793980901], [23.404654901154306, 38.328041957151775], [23.404196846366073, 38.32734837230316], [23.40395660708403, 38.3266060082557], [23.4039341768221, 38.325814866756645], [23.403953800826905, 38.32538936964141], [23.404015477487057, 38.325329517486736], [23.40404037682212, 38.32529625109173], [23.40402849890808, 38.32528957048582], [23.403886869722662, 38.32513752863551], [23.403615491248278, 38.32484012481477], [23.403407241829477, 38.32450584171435], [23.40326212093921, 38.324134679724004], [23.403225356210534, 38.32377620679381], [23.403296945855978, 38.323430423126936], [23.403476888229516, 38.323097328550446], [23.403765181826575, 38.32277692251531], [23.404079980746996, 38.32247142534176], [23.40442128481896, 38.32218083678829], [23.404789093908384, 38.321905156589125], [23.405183407919118, 38.32164438445422], [23.405600084289215, 38.32143640310368], [23.406039123724117, 38.321281212257695], [23.406500527055393, 38.321178811606536], [23.406984295240665, 38.32112920081052], [23.407442632652455, 38.32115777337695], [23.407875540850508, 38.321264529612414], [23.408283021263408, 38.321449469786], [23.40866507518858, 38.32171259412937], [23.409010767236367, 38.32199949810929], [23.409320097339094, 38.32231018210096], [23.40952991958265, 38.32254903648181], [23.40964023208261, 38.32271606203619], [23.40980186232928, 38.32278454807786]]]]}",EL,Ελλάδα ,Βοιωτία,Δημοτική Κοινότητα Θηβαίων,2026-09-02T11:02:00+02:00,189,0.00000000,0.00000000,0.00000000,47.34042553,3.72340426,48.40425532,0.53191489,0.00000000,0.00000000,0.00000000,2026-09-04T07:50:03.359677+02:00,,False
665605,"{'type': 'Point', 'coordinates': [24.37972966916724, 37.9915951472235]}","[24.370067758565106, 37.97184474678283, 24.389626415469376, 38.01064787356485]","{'type': 'MultiPolygon', 'coordinates': [[[[24.375539309727877, 37.97609459951237], [24.375723612768038, 37.97528190032247], [24.37602343622874, 37.97449969879742], [24.376438776402356, 37.97374799406187], [24.37696295270744, 37.97305623145573], [24.37759596298185, 37.97242440939738], [24.37830174214791, 37.972020581670954], [24.379080295367718, 37.97184474678283], [24.379931629679465, 37.971896902814464], [24.38085575399765, 37.9721770474225], [24.38166985648848, 37.972559993553496], [24.382373939142774, 37.97304574383541], [24.382968003057126, 37.97363430050744], [24.383452048433927, 37.97432566542016], [24.38386833992692, 37.97503690374468], [24.384216875841105, 37.97576801638929], [24.384497654373344, 37.97651900411916], [24.38471067361233, 37.977289867556316], [24.384805466460342, 37.97806916241556], [24.38478202892514, 37.978856889178495], [24.384640356949948, 37.97965304788525], [24.384380446413445, 37.98045763813422], [24.38415739073135, 37.981266180234776], [24.38397119118947, 37.98207867438832], [24.38382184908882, 37.98289512075258], [24.383709365745794, 37.98371551944151], [24.383608507579595, 37.98453414795322], [24.383519275004282, 37.98535100631467], [24.38344166843238, 37.986166094548565], [24.383375688274878, 37.9869794126734], [24.383367841647633, 37.98778388367493], [24.38341813055898, 37.98857950751803], [24.38352655697823, 37.98936628406151], [24.383693122835638, 37.990144213058066], [24.383882948464972, 37.990918602168065], [24.384096034616626, 37.99168945123317], [24.38433238203479, 37.992456760078035], [24.384591991457405, 37.9932205285104], [24.38482835290685, 37.9939878341883], [24.3850414656457, 37.99475867730407], [24.385231328930224, 37.99553305803307], [24.385397942010403, 37.99631097653369], [24.38553528223423, 37.99697387516052], [24.385643347447854, 37.99752175439468], [24.385722135898913, 37.99795461462763], [24.385771646236638, 37.99827245616137], [24.385910716496767, 37.998685472774135], [24.386139349221402, 37.999193663834944], [24.386457547788403, 37.999797028394525], [24.386865316411534, 38.000495565185346], [24.3872304124852, 38.001138311280464], [24.387552833596136, 38.00172526739293], [24.38783257756823, 38.00225643415799], [24.388069642462614, 38.00273181213312], [24.388259173610237, 38.00314308926809], [24.388401169392516, 38.003490266003695], [24.3884956284954, 38.003773342682905], [24.38854254990933, 38.00399231955084], [24.388594382163507, 38.00421054896348], [24.3886511253026, 38.00442803091165], [24.388712779371076, 38.00464476538542], [24.388779344413066, 38.0048607523741], [24.388850820472424, 38.005075991866285], [24.38892720759274, 38.00529048384977], [24.38900850581733, 38.00550422831159], [24.38909471518921, 38.005717225238044], [24.38917601469508, 38.00593096939914], [24.389252404291906, 38.00614546080856], [24.389323883936402, 38.006360699479266], [24.389390453584998, 38.00657668542347], [24.38945211319383, 38.00679341865255], [24.389508862718746, 38.007010899177246], [24.38956070211536, 38.007229127007456], [24.389607631338954, 38.00744810215233], [24.389626415469376, 38.00766193947647], [24.389617054227475, 38.007870639011024], [24.389579547348326, 38.008074200761335], [24.389513894581327, 38.00827262470705], [24.3894200956901, 38.00846591080199], [24.389298150452532, 38.008654058974244], [24.3891480586608, 38.00883706912613], [24.388969820121332, 38.00901494113417], [24.388782558131396, 38.009190148159774], [24.388586272642385, 38.00936269015281], [24.388380963608032, 38.00953256706043], [24.388166630984383, 38.00969977882714], [24.387943274729768, 38.0098643253947], [24.38771089480485, 38.01002620670221], [24.387469491172624, 38.01018542268605], [24.38721906379835, 38.01034197327992], [24.386966842708016, 38.01046649367876], [24.386712828217735, 38.010558983870666], [24.3864570206567, 38.01061944383951], [24.386199420367173, 38.01064787356485], [24.385940027704514, 38.01064427302201], [24.385678843037148, 38.010608642182056], [24.385415866746584, 38.01054098101181], [24.385151099227418, 38.01044128947381], [24.38499259105879, 38.01037855865707], [24.384940341642427, 38.01035278912668], [24.38489362204856, 38.01035459044935], [24.384852432220796, 38.010383962635245], [24.384080064152684, 38.01043415698047], [24.38257651645519, 38.01050515561287], [24.38118921094771, 38.010348133484], [24.37991816079137, 38.00996309509153], [24.37894976928336, 38.00929540768013], [24.378284040572268, 38.008345079720044], [24.37777274757851, 38.00734497317016], [24.377415884870416, 38.006295090560734], [24.377213446397352, 38.00519543367943], [24.37716542548983, 38.00404600357151], [24.3770269467715, 38.00293661842158], [24.376798014097297, 38.00186727784695], [24.376473180645814, 38.00081252063282], [24.376052450599797, 37.99977234568924], [24.375599766901807, 37.99873702855186], [24.375115130897925, 37.99770656872919], [24.374662481000918, 37.996671243288716], [24.374241815862884, 37.99563105272203], [24.37378919886504, 37.99459571930641], [24.37330463135326, 37.99356524255035], [24.372878567075578, 37.99249957913346], [24.37251100419533, 37.99139872978102], [24.372116937871894, 37.99032819854634], [24.371696368593216, 37.98928798519574], [24.371307779945823, 37.98824290810602], [24.370951170558612, 37.98719296770449], [24.370594575108896, 37.986143024120494], [24.370237993595822, 37.98509307735409], [24.370067758565106, 37.98398850877993], [24.370083861772223, 37.98282931949683], [24.370441368177122, 37.981723379632776], [24.37114026172024, 37.98067068612477], [24.371999653907224, 37.979751316385595], [24.373019542556754, 37.97896526655739], [24.37392719113278, 37.978117403408746], [24.374722601597917, 37.977207729912095], [24.37520201435482, 37.97668990519315], [24.375365443061135, 37.9765639342773], [24.375539309727877, 37.97609459951237]]]]}",EL,Ελλάδα ,Εύβοια,Δημοτική Κοινότητα Καρύστου,2026-09-02T10:26:00+02:00,412,0.00000000,0.00000000,0.00000000,17.63285024,0.00000000,63.76811594,1.20772947,17.39130435,0.00000000,0.00000000,2026-09-02T14:03:12.229600+02:00,,False
665604,"{'type': 'Point', 'coordinates': [20.779986610209885, 40.03646667932349]}","[20.778903163322678, 40.034840462399636, 20.78070762887632, 40.037921349163135]","{'type': 'MultiPolygon', 'coordinates': [[[[20.780597191752467, 40.03767215678319], [20.780504976450445, 40.03770022088159], [20.780411578000304, 40.03772127491827], [20.780316996430653, 40.037735318889595], [20.780225663747313, 40.03772758006049], [20.780137580042545, 40.03769805843719], [20.780049200665626, 40.03766678423578], [20.779960525624595, 40.03763375745506], [20.779868010132926, 40.037619008301185], [20.779771654113222, 40.03762253676604], [20.779686532374242, 40.0376515998506], [20.779612644833193, 40.03770619758406], [20.77954900427367, 40.037766801612776], [20.779495610708196, 40.03783341195536], [20.77942566340614, 40.037884002734934], [20.779339162377216, 40.03791857391814], [20.779249604011333, 40.037921349163135], [20.779156988440658, 40.0378923284584], [20.77907422446938, 40.03785329067824], [20.779001312119608, 40.03780423584604], [20.778949285832113, 40.03774215700652], [20.77891814558162, 40.037667054191225], [20.778903163322678, 40.03759194759961], [20.778904338998434, 40.03751683724058], [20.7789267960441, 40.037444726325816], [20.778970534390528, 40.037375614843036], [20.779012006637632, 40.03730675423429], [20.779051212792957, 40.03723814450232], [20.779110321328123, 40.03717804256279], [20.779189332209175, 40.03712644838197], [20.779275240839596, 40.037088372328014], [20.779368047258888, 40.0370638143833], [20.779461740821862, 40.03704451384767], [20.779556321550146, 40.037030470718335], [20.7796567171463, 40.037037206564236], [20.77976292771093, 40.03706472136444], [20.77986450638244, 40.03707846698398], [20.779961453090948, 40.03707844343973], [20.780056329530932, 40.03706615232315], [20.780149135649978, 40.037041593641085], [20.780232777636904, 40.03700376767806], [20.780307255458244, 40.03695267445693], [20.78036409662466, 40.036892822699606], [20.78040330116413, 40.036824212434595], [20.780416692432734, 40.03675310488321], [20.780404270515152, 40.036679500053374], [20.78036554406255, 40.036614163837825], [20.780300513138126, 40.03655709620527], [20.780241984535643, 40.03649752325217], [20.78018995824434, 40.036435444990055], [20.780162266339676, 40.03636710155206], [20.780158908754004, 40.03629249295933], [20.780122448812637, 40.03622690568424], [20.780052886599343, 40.03617033968929], [20.77997179888983, 40.036127546638696], [20.77987918565256, 40.036098526506294], [20.779806570564176, 40.036051224646684], [20.7797539536459, 40.03598564110131], [20.77971010497212, 40.03591730137268], [20.779675024521172, 40.03584620547261], [20.77969216115009, 40.0357836095207], [20.77976151471117, 40.03572951349489], [20.779839440448637, 40.035685179676875], [20.779925938378426, 40.03565060804701], [20.779967508701205, 40.03559601787114], [20.779964151496852, 40.03552140920128], [20.779923751870186, 40.03545982861489], [20.779846309899998, 40.035411276066384], [20.77976295740968, 40.03536873369249], [20.779673694386673, 40.03533220147918], [20.779581082485517, 40.035303181004785], [20.7794851216774, 40.03528167226116], [20.779408863165486, 40.03524012935091], [20.779352306986024, 40.03517855231673], [20.779333976164185, 40.0351109574019], [20.779353870586235, 40.0350373446296], [20.779400760265904, 40.034973239430215], [20.779474645141136, 40.03491864176827], [20.779557693460063, 40.03487731135092], [20.77964990525399, 40.034849248155666], [20.77974536996324, 40.034840462399636], [20.779844087671627, 40.0348509540717], [20.77994310114843, 40.034863198144116], [20.780042410402046, 40.03487719461575], [20.780138370797143, 40.034898702829906], [20.780230982364557, 40.034927722795175], [20.780309802709628, 40.03497076664596], [20.780374831858538, 40.03502783441318], [20.78042035496276, 40.035092417980536], [20.78044637198138, 40.03516451737491], [20.78047012312948, 40.0352368676842], [20.78049160839976, 40.03530946891018], [20.780522157506667, 40.035381066403254], [20.78056177047893, 40.03545166015442], [20.780603353742123, 40.03552025045172], [20.780646907297953, 40.035586837292996], [20.78067716099222, 40.035656682210465], [20.78069411478715, 40.035729785216716], [20.78070427075611, 40.035803641017935], [20.78070762887632, 40.035878249616665], [20.780701923160915, 40.035953861948926], [20.78068715357818, 40.03603047801372], [20.780667556271887, 40.036105843442954], [20.780643131225744, 40.036179958234435], [20.780618706134582, 40.036254073015115], [20.780594280998372, 40.03632818778505], [20.78058148147715, 40.03640280037893], [20.7805803076111, 40.03647791080022], [20.780581399738427, 40.03655277028288], [20.780584757866894, 40.03662737882668], [20.78058585002431, 40.036702238296705], [20.780584676202874, 40.036777348693185], [20.78058123639476, 40.036852710016156], [20.780575530592102, 40.03692832226553], [20.78057662278893, 40.03700318171089], [20.780584513008627, 40.037077288351604], [20.78059920127412, 40.03715064218557], [20.78062068760794, 40.037223243209354], [20.780634397898, 40.03735918897998], [20.780640332187073, 40.037558479472395], [20.780597191752467, 40.03767215678319]]]]}",EL,Ελλάδα ,Ιωάννινα,Δημοτική Κοινότητα Κονίτσης,2026-09-01T00:18:00+02:00,2,0.00000000,0.00000000,0.00000000,0.00000000,100.00000000,0.00000000,0.00000000,0.00000000,0.00000000,100.00000000,2026-09-02T13:57:51.335848+02:00,,False
665603,"{'type': 'Point', 'coordinates': [20.78429342279044, 40.0398467637753]}","[20.783888912583375, 40.03856366486788, 20.784767750377267, 40.04104955508177]","{'type': 'MultiPolygon', 'coordinates': [[[[20.784767750377267, 40.04013947674224], [20.784628813535218, 40.04026299569602], [20.784489876197966, 40.04038651444812], [20.784342414750462, 40.04051870060413], [20.784247811925706, 40.04066820154942], [20.784235479402323, 40.04083175950884], [20.784151959903014, 40.04098775597415], [20.783942676360063, 40.04104955508177], [20.783896186769443, 40.04089251282864], [20.783888912583375, 40.04073112677791], [20.783890162167367, 40.04056107313048], [20.783902495603492, 40.040397515144804], [20.784049957683276, 40.04026532962192], [20.784222146974265, 40.04016129844789], [20.784244283288874, 40.039996654400625], [20.78420759769135, 40.03983852614159], [20.78412189422198, 40.03968582763918], [20.784114619995204, 40.03952444140102], [20.784087738710497, 40.039365227042175], [20.784059577562005, 40.03919843100551], [20.78405230370416, 40.03903704467034], [20.784074440435422, 40.038872400455844], [20.784117464093903, 40.03871316594384], [20.784212064927168, 40.03856366486788], [20.78440985105402, 40.03861126612301], [20.78441840569919, 40.03878023412272], [20.784365579250746, 40.03894055471916], [20.784372853853114, 40.03910194102834], [20.784448753418218, 40.03925572540308], [20.784579634489262, 40.03938024879241], [20.784665338560075, 40.03953294692576], [20.78465556721342, 40.03971166836048], [20.784767750377267, 40.04013947674224]]]]}",EL,Ελλάδα ,Ιωάννινα,Δημοτική Κοινότητα Κονίτσης,2026-09-01T00:18:00+02:00,1,0.00000000,0.00000000,0.00000000,0.00000000,99.99999999,0.00000000,0.00000000,0.00000000,0.00000000,100.00000000,2026-09-02T13:57:33.397639+02:00,,False
658626,"{'type': 'Point', 'coordinates': [22.72594248430364, 39.88298938763962]}","[22.725543227449815, 39.8826226677162, 22.726425838633048, 39.88332700774149]","{'type': 'MultiPolygon', 'coordinates': [[[[22.72626125357359, 39.883216039409604], [22.726151638008233, 39.883247511985964], [22.726042436774218, 39.88328106562818], [22.72593364986201, 39.88331670033776], [22.72582257859336, 39.88332700774149], [22.72570922309634, 39.88331198782849], [22.725627709575566, 39.88326289032236], [22.72557803809562, 39.88317971529606], [22.725549877414164, 39.883093716937104], [22.725543227449815, 39.88300489526592], [22.72555312487813, 39.88291603730451], [22.72557956963102, 39.882827143049894], [22.725636217783812, 39.8827513691736], [22.72572306926009, 39.88268871562818], [22.72582213117148, 39.88264581515458], [22.725933403580232, 39.8826226677162], [22.72603558824062, 39.88263701792578], [22.726128685327076, 39.88268886580507], [22.726200069819296, 39.88275637708862], [22.72624974170639, 39.88283955182135], [22.726321540954807, 39.88290914418256], [22.72641546758632, 39.882965154125486], [22.726425838633048, 39.88304494508626], [22.72635265380888, 39.883148517094305], [22.72626125357359, 39.883216039409604]]]]}",EL,Ελλάδα ,Λάρισα,Τοπική Κοινότητα Στομίου,2026-08-25T11:51:00+02:00,0,,,,,,,,,,100.00000000,2026-08-31T08:45:08.539032+02:00,,False
658609,"{'type': 'Point', 'coordinates': [21.74195324265969, 39.92261353145344]}","[21.737120704953398, 39.919227456553834, 21.746714436728933, 39.92580935904423]","{'type': 'MultiPolygon', 'coordinates': [[[[21.746154013716477, 39.92580935904423], [21.74545347726913, 39.92579999854301], [21.745154642023174, 39.92578125551797], [21.74431831278096, 39.925694221995215], [21.744159094615974, 39.925567117935415], [21.74417658627657, 39.92500047757245], [21.744052810808775, 39.92493769282675], [21.743398756602726, 39.925181437833295], [21.7430413675205, 39.92510116369667], [21.741857438807006, 39.92444457354486], [21.74150753844876, 39.92430850463452], [21.740891964886554, 39.92426531879], [21.740449413131397, 39.924332542105304], [21.738788994603276, 39.92472143346768], [21.738271399841707, 39.92470167023387], [21.737269923160397, 39.92421114953164], [21.737120704953398, 39.92400964834169], [21.73735476208476, 39.92346388332786], [21.737500196284625, 39.92332281691462], [21.73801408683114, 39.92314309638871], [21.738318749711965, 39.92309712424836], [21.73937169762326, 39.923040411427635], [21.739743975358934, 39.9230731610425], [21.74060560332248, 39.923298302545504], [21.740879604156664, 39.92337494502402], [21.741427121319457, 39.92354396763089], [21.741652515886322, 39.92351671625344], [21.74226416567484, 39.923207543348695], [21.742280771783822, 39.923104914166444], [21.741754530384025, 39.922886280320974], [21.74164152919797, 39.92278560075947], [21.741586619798664, 39.92248645571198], [21.741628838027804, 39.92236243518626], [21.74190086779027, 39.92202375998964], [21.74196042284574, 39.92189764296356], [21.741994677691306, 39.9215877167304], [21.741931167029698, 39.92153136419048], [21.74157028589576, 39.921551476629034], [21.7413324880235, 39.921607670299885], [21.740470404767596, 39.92187655017786], [21.740217002456347, 39.92184772739904], [21.739775881511594, 39.92143061918064], [21.739522450036247, 39.92143381408623], [21.73866019894373, 39.92186735014837], [21.738326613895243, 39.921948835627894], [21.737473291637848, 39.92193436776656], [21.737332224026193, 39.92184164982787], [21.737460054480106, 39.921379286851305], [21.73754936688503, 39.921222134512206], [21.737880856244725, 39.92087628497517], [21.7380345264281, 39.920747942336185], [21.738493340321323, 39.92043374342547], [21.738616470889138, 39.92029994382249], [21.738790901383794, 39.91992603152954], [21.738911567403065, 39.91977880821161], [21.739357703103153, 39.919395571024445], [21.739494819947463, 39.91930581596855], [21.7397538591613, 39.919227456553834], [21.739848754856755, 39.91926172119901], [21.740077752175043, 39.91951629879921], [21.740242848832917, 39.91951463388465], [21.74086291603381, 39.91925149193457], [21.741063507081005, 39.91925010781905], [21.741475055889275, 39.919506132648465], [21.741624366811926, 39.919611569255494], [21.741980702696576, 39.91989779008533], [21.742354486306873, 39.92006755740319], [21.743920482196327, 39.92065441072426], [21.74425960136269, 39.92082836362451], [21.744437629954795, 39.921136140734], [21.744541480852522, 39.921315677159356], [21.744897546027936, 39.921931229376575], [21.745017094358207, 39.92209971949017], [21.745275845886418, 39.92235068851686], [21.745331059849633, 39.92245835353544], [21.74535626480588, 39.922761090737296], [21.7454221314049, 39.922958941642456], [21.745735673534853, 39.923673722387306], [21.745792504887653, 39.92382235501505], [21.745771233432666, 39.92387197170094], [21.7457876657025, 39.92396145853118], [21.745893447015913, 39.92437205962893], [21.746035327250343, 39.924501258065604], [21.746659217804044, 39.92475510375401], [21.746714436728933, 39.924862767572904], [21.74637452436168, 39.925162623326905], [21.746305881818994, 39.92530356350718], [21.746292777266873, 39.925728543565484], [21.746154013716477, 39.92580935904423]]]]}",EL,Ελλάδα ,"Γρεβενά, Κοζάνη",Τοπική Κοινότητα Παλιουριάς,2026-08-26T11:51:00+02:00,30,0.00000000,0.00000000,0.00000000,67.85714286,32.14285714,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,2026-08-31T08:10:55.862434+02:00,,False
